,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,-0.19437883730196714,-0.2010165407488533,-0.2040771606499963,-0.1956868058398058,-0.2581081453753562,0.41301887638009716,0.3834821760684653,0.11835077279592172,0.10523680882107186,0.18256009408152876,0.04313923974928382,0.15871978036216794,0.26245080877610377,0.1941666832725524,0.07773989900336263,0.14628514066893097,0.2273605000457277,0.21404840500217798,-0.07389915730683685,-0.016827770343975694,0.098594870423185,-0.061623906085116885,0.07386213082004635,0.038620256840585676,-0.11303447067587893,0.05653849367170045
Botswana,0.008264792983897847,0.02344282875887089,-0.02219646458684464,0.017842517797449994,0.08411649910753734,0.0005512999240819042,0.011588242932077664,-0.06720682704944698,0.12033972661046427,0.034200804657891916,-0.06934809222418648,-0.02666874093491077,0.3573926336219983,0.17147632602701032,0.08803000773376106,-0.0007466917495795575,0.057405538371859875,-0.020427514848165296,-0.08012989189097774,0.2243357650055552,0.18376613441190703,-0.07181007890627074,0.021866748293829764,0.07691748193311101,-0.12605155505652868,0.0653073185054757
Brazil,-0.08581594754666907,-0.058307837369380076,0.1036014899126037,0.40338506226312215,0.3189252107545878,0.07477261906122476,0.0214363843495844,-0.04611646574027257,-0.31444502698350657,0.08258915041630116,-0.15210362494155855,-0.09878676622342651,0.07794115987867994,0.18316529869472406,0.31703143864887245,0.22877458330280845,0.24833493149072997,0.20181786243456018,-0.02642787767016897,0.31267059839309247,0.1736047855290688,-0.06607318027687994,-0.005645540991152538,-0.015247567567841803,-0.2723429987211294,-0.01212566369811393
Brunei,0.021798560967320555,0.0988961328425467,-0.045960076751463345,-0.031216112737021705,0.1283159538237117,0.053963219683291146,-0.008021169297521868,-0.23820809359332765,0.11110008255223251,0.277522705545119,-0.08554948136846481,0.022967486947755023,0.10151465766780586,0.17999659990899344,0.1919340652217132,0.18670201244744353,0.054337814292882154,0.16143239307997917,-0.26305131506233886,0.13854621688760024,0.33416406809882665,0.014606003788768628,-0.06285672215221572,-0.0673977319934274,-0.253109803946656,-0.1286055262319035
Bulgaria,-0.5911679384766112,0.1395701664330131,0.2738214999504442,-0.09314689584749852,0.7965361020018173,-0.34581139744705186,-0.07061208046761397,0.34038334690585426,-0.0847902411497361,-0.020292690270461985,0.07985265453928848,0.16596893415651148,0.2993166423702528,0.24660075743012605,0.15043204280901215,0.15949746002934959,0.30079523970884864,0.23455699761558804,-0.03833546754455817,-0.025132762500465856,0.1461800980958708,-0.05272292565844104,0.03546360891825653,0.029502831142378037,-0.10425317916526969,0.06937446708828816
Burkina Faso,-0.015869862714745716,0.042284867658085756,-0.07230001747370958,-0.42356612720336306,0.22142065480531833,0.05736317568997319,-0.07967262177569201,0.11427413171008431,0.03356586080023225,-0.15059123650351516,0.04615343959827895,0.09901069512674861,0.2745092397223937,0.11727450166678015,0.09606518933819316,0.03336854770878699,0.1296510725590883,0.19921887088173637,-0.029855778654506046,0.04107285470754457,0.1591145755224041,0.01047228361454864,0.03851857701710663,0.00578439934287631,-0.1755046710595957,0.053363690969208434
Burundi,-0.006395689192278562,-0.0887940556333642,-0.12040680199086518,0.07763056656539487,-0.07775676908250524,-0.14188573952806016,0.10821901153412154,-0.09078865944179816,-0.10748898067080237,-0.1379189157628831,-0.08694657261014196,-0.07695987652531482,-0.08007009953469862,0.10611400614286894,0.5910649749812831,0.1034772306918703,0.03058525682258256,0.14990081969859514,0.06591503117723468,0.10787851514047707,0.06549299484793156,0.008588285734575572,0.020879429742065896,0.06960424957817272,0.0064168506359741214,0.009938448259642466
Cambodia,0.27953450052083084,0.027675644409615327,-0.018574801492523513,0.06257020113188609,0.19734180672411183,0.028109812600788906,-0.04547184352275954,-0.114667668832523,0.09526704031200296,0.020719091651194097,0.0667255598416202,0.054801278865830284,0.06906244974570004,0.12584980575260624,0.16056380535494147,0.13843123402163185,0.17004750184814743,0.18064877330875828,-0.01013293586676661,0.06428836817992457,0.12319894053739855,0.0777594220625043,0.06861969557073572,0.0761382087038108,0.0634739788043477,0.09174179372596077
Cameroon,-0.06755316267912811,-0.01021889442740599,0.027504733594742262,-0.43615925031817593,0.21885070797132494,0.04275395456168865,-0.0693184290965552,0.04951260285052601,-0.006464569581439691,-0.09728644129760877,0.010206226213891363,0.09981587032574718,0.21899096647013142,0.12733907554449223,0.02339333311770556,0.04966737503163062,0.12421413487652544,0.1487994562904539,-0.041582602655812914,-0.02239857966850239,0.09180499537068611,-0.034654477864024945,0.08164755087632558,0.05142067001529393,-0.1389535040002097,0.028516232940924455
Canada,0.014763525197187962,-0.04116064383880624,-0.036797934669771035,-0.009363429950863917,0.03397189866115534,0.03035287535194465,0.028722674586493916,-0.041029294802622754,0.060098986697798305,0.0875737812941428,-0.017115488549875168,0.019440436734936447,0.1658052515900893,0.13459412792188602,0.13027153237690017,0.1117093893949526,0.1000167080271365,0.04436090635611084,-0.12553469605965067,0.16268238497684637,0.09598937836212373,0.008815452772611912,-0.0005898796434775275,-0.03371459300579457,-0.14585423094366975,-0.026244051089058966
