Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Equatorial Guinea,404.9098134,396.1869565,452.6669621,431.7969038,344.6443751,433.4576899,659.4858773,1218.409885,981.2895959,1576.385811,2492.356602,3495.045865,4126.225674,5385.334992,7839.859835,11366.61674,12857.34556,15908.39033,22942.59351,16667.9395,17272.0026,21613.50809,21712.37259,20384.88349,19368.30201,11274.9285,9268.020483
Eritrea,147.1489656,169.4127226,193.6029373,225.6167344,284.3303474,290.2265378,340.7547082,356.2651702,366.7953315,354.7416759,308.1337821,316.8251619,293.9559127,334.5856694,407.7699754,388.5947009,415.0365994,439.8326913,450.6328403,595.1099869,667.7441773,811.3937367,941.6738225,1071.360185,1197.03946,1328.857131,1484.555427
Estonia,3611.264262,3472.497555,2850.253839,2810.822551,2873.462358,3119.7575,3369.639677,3651.683161,4025.968381,4109.590564,4072.800533,4497.657717,5331.870189,7194.789752,8906.32184,10397.74875,12614.16314,16693.33184,18165.27377,14783.58506,14786.24228,17620.46015,17528.2859,19158.61972,20340.30296,17523.32256,18227.32186
Ethiopia,234.0423986,257.7346013,198.9320419,138.5249709,129.5288291,132.9906229,139.8634359,140.3941003,123.6106727,113.8970411,121.2567212,116.8360221,109.6495789,117.1411957,133.8321765,159.3211886,190.8963556,235.4151538,308.8491149,330.7861736,300.2203105,338.1346335,455.2127905,487.9343282,552.1527006,625.5602841,696.4791709
Fiji,1837.958542,1884.721367,2062.297403,2171.773122,2388.281655,2570.671599,2695.41827,2678.692705,2099.953063,2442.487672,2105.953118,2067.056135,2290.205476,2873.273248,3376.507676,3627.785175,3715.894169,4040.095511,4167.647453,3362.753947,3652.549099,4371.737408,4591.573235,4840.370835,5605.719682,5390.685552,5651.363823
Finland,28310.49552,25455.5826,22306.44711,17589.5607,20265.69466,26213.30681,25721.85999,24633.7493,25954.94595,26123.72763,24230.46839,24886.1539,26805.08792,32765.3749,37603.8028,38944.06774,41098.39861,48329.94182,53495.11158,47261.12603,46438.93294,51065.26109,47703.75004,49877.95154,50261.22934,42798.78622,43758.24963
France,21793.13846,21691.56699,23844.16195,22413.2475,23520.81543,26903.67146,26875.28099,24219.29702,24950.8914,24656.80633,22378.02519,22465.65143,24214.94389,29597.09491,33772.47858,34806.95767,36509.66359,41591.76988,45427.217,41642.78305,40685.26118,43812.44826,40870.96311,42587.0047,43005.21688,36611.75391,36979.70226
Gabon,6360.787693,6162.667705,6208.467476,5842.957772,4411.841893,5087.052631,5694.251858,5214.591176,4285.719315,4305.414742,4621.433043,4118.920503,4194.093704,4967.822119,5794.183171,6888.626588,7214.914411,8447.078898,10212.82045,7690.061834,8840.759423,10795.52227,9814.050359,9680.788248,9650.530105,7379.161928,6984.420489
Gambia,1230.698407,1155.714701,1155.296798,1182.833453,1133.80095,1157.454819,1210.998213,1112.495806,1127.909486,1060.1966,987.4348308,839.9722073,684.3356329,558.2530738,642.7552872,665.7211635,662.3618701,780.3790542,924.5135989,833.2816153,860.6392972,762.7605341,742.7795737,700.5148715,607.4289628,660.7234455,682.7184504
Georgia,1640.901214,1343.787235,772.693506,569.5089438,532.7229593,571.4635134,664.9245111,784.1451433,830.8177134,660.9379148,737.4551576,788.1825924,838.846017,990.5425249,1276.012133,1601.875516,1944.722331,2568.282504,3249.168583,2749.497172,2986.80322,3701.895109,4057.186532,4245.815504,4368.285397,3715.95498,3770.83671
Germany,22410.596,23511.173,26658.29199,25752.68738,27278.69497,31866.67551,30708.32335,27174.30403,27505.01109,26958.37744,23871.28793,23867.36969,25372.11175,30583.24298,34408.22275,34872.99502,36724.70467,42090.85715,46014.08008,41997.37979,42020.0427,46309.80564,43562.18924,45984.26306,47684.49516,41088.84158,42178.25937
Ghana,894.4196123,976.9203029,933.3330549,786.1682376,697.5957804,806.0353189,842.2054361,816.2490997,864.5710344,870.2745699,548.2580474,570.6396045,646.0387188,780.2675647,885.6375073,1043.557511,1207.207961,1427.032007,1602.504302,1422.601095,1718.647038,2062.806618,2135.398102,2378.220096,1968.875165,1765.993664,1931.389538
Greece,9572.952267,10193.17297,11153.23766,10329.80604,10954.22597,12738.92521,13465.30968,13125.47464,13165.74537,13525.17819,11885.75824,12231.41234,13757.26601,17997.89692,21409.15754,22074.07149,24434.34648,28639.50873,32107.24746,30109.6984,27495.55083,26576.39033,22787.10864,22332.48093,22149.22373,18442.36113,18390.87142
Greenland,20025.36556,19910.43841,20303.71716,18142.38694,19693.39228,23670.73547,23435.87251,20965.98041,22458.54946,22062.41739,20775.92386,21071.88792,22604.792,27487.47521,32051.84345,32480.59996,35335.64123,39520.98942,43966.36928,44598.15365,44195.89653,47468.90663,46213.54161,47593.63173,50408.22045,44328.59296,47988.71589
Grenada,2450.97724,2565.764416,2595.647999,2564.623318,2660.880398,2774.376437,2953.961321,3162.72885,3459.622413,3708.93618,5057.174686,5040.672979,5213.897341,5682.597169,5741.597923,6644.025667,6658.534493,7212.521962,7832.439859,7290.718107,7257.771265,7291.055429,7444.497529,7789.316542,8370.454714,9096.870791,9628.347396
Guatemala,736.1941644,884.2251101,958.7132564,1022.556707,1137.819376,1255.280858,1321.549701,1456.255331,1552.966357,1434.044428,1475.925345,1568.377794,1701.761695,1753.339184,1872.738009,2077.822333,2256.555934,2489.947084,2794.166352,2635.730844,2825.494227,3187.859086,3299.664857,3452.917045,3687.82265,3923.565631,4140.565627
Guinea,614.8672711,631.4444243,661.9628764,641.2233936,654.3911129,723.5798747,737.4678936,701.4502879,624.1263978,589.890549,518.0898099,484.153225,475.1355878,544.4654438,563.3262196,446.0267703,453.4035201,659.9927104,715.0968254,674.0855449,672.4244016,651.1353122,717.0505957,769.0034554,787.237719,769.2560113,732.9629176
Guinea-Bissau,624.6558836,650.3110711,670.3777864,686.359753,706.2695047,734.5311382,482.3602667,364.1736783,325.4532921,344.7906964,301.9065369,309.7521505,325.4455385,371.2211593,404.3491295,436.3019843,429.622258,493.0705148,597.576452,557.1710548,557.6321083,702.7422647,616.4110966,634.4833144,622.4825921,602.9446772,661.4559332
Guyana,850.1127764,746.5038018,796.4201546,986.5237597,1145.89713,1302.240238,1478.84757,1576.120025,1518.013048,1477.901601,1521.999871,1523.990086,1554.748401,1590.250453,1684.681324,1762.937227,1954.125696,2331.410105,2574.391604,2708.984908,3014.654092,3426.200163,3774.367733,3937.92452,4030.871614,4142.522225,4455.233685
